text_input,output
Maayong aga! Ano ang imo klase subong?,Good morning! What is your class today?
Salamat! May ara ko klase sa linguahe English.,Thank you! I have a class in English language.
Ga-ubra ko sang akon research paper.,I am working on my research paper.
Ginpangabay ko ang halangdon nga profesor nga mag rekomendar sa akon.,I am asked a respected professor to write a recommendation letter for me.
Ang akon oras sa kampus daw indi bastante.,My time on campus seems insufficient.
Naga tinguha ako nga maka upod sa Dean's List.,I am striving to make it to the Dean's List.
Mas maayo nga mag-organisar kita sang study group.,It's better if we organize a study group.
Ginasaligan ko ang akon classmates sa ulupod nga pagtu-on.,I rely on my classmates in our study group.
Makahambal ka bala sang Hiligaynon?,Do you speak Hiligaynon?
"Oo, gamay lang. Pero nagapanikasog ako nga magtuon.","Yes, a little. But I am trying to learn."
